N_Estimators,Max_Depth,Min_Samples_Split,Mean_Recall_Score,Std_Recall_Score
200,20,2,0.9812415792353283,0.0028774201841224568
100,20,2,0.9809828804900173,0.003024589812644519
200,,2,0.98085343069083,0.0031763603480757497
100,,2,0.9798185352830542,0.003310340839496562
200,,5,0.9786540896495596,0.0033419113266682666
200,20,5,0.9785248909167015,0.0031284473912496684
100,,5,0.9785248407034356,0.0029471402188036362
100,20,5,0.9782659411050614,0.0036579077916552133
100,10,2,0.9699864263499937,0.0039671638600013845
200,10,5,0.9690808803148734,0.004330105070672885
200,10,2,0.9690808301016075,0.004456251665244497
100,10,5,0.9685635832507827,0.0038974515465531536
